"Low","High","pred"
2480.08353651832,2246.63028820738,1
2358.95668862509,2129.2365629941,1
1763.68137350926,2275.92091530802,1
1966.9979270208,2289.89872158047,1
2226.37649800847,2263.14508795073,1
2732.66524710528,2844.5035853841,1
1411.05178370053,1728.01182395132,1
2192.84710083165,2040.15455110004,1
2641.34073104245,2590.08496820783,1
1542.8681816199,1560.57097696481,1
2142.87370519765,1959.3420537447,1
2253.49772419737,1753.10838428127,1
2273.25483111713,2184.51035081152,1
1950.7377248432,2047.36912374725,1
1580.47093222129,1636.38676125284,1
2626.31070010415,2601.87895693064,1
1831.75480276324,1686.31086770909,1
2902.01380196728,2683.00724806912,1
2743.67393102243,2762.21258418463,1
2988.97945749,2702.85604550127,1
1884.19752306243,1930.52135292138,1
2912.4397722411,2732.24442044782,1
1826.33786785117,1707.72714227211,1
2409.0282473598,2222.21418936667,1
2819.47446816297,2865.34007115685,1
2076.52377228478,1988.31939666046,1
1850.6313666297,1784.4723435364,1
2918.82309101275,2973.20967363063,1
1649.39148538051,1885.23200905201,1
2328.5010494926,2327.91835391877,1
1468.57058528498,1358.4599501037,1
1748.6937439056,1437.25091408056,1
2798.9815532427,2994.72724377481,1
2136.00291103032,2085.82443270521,1
2720.58595889433,2773.74278552771,1
1928.09127904088,1787.62860227915,1
2832.95226911791,2620.43325442563,1
1907.30387481849,1880.52038784544,1
2174.61778693378,2001.83103201825,1
1956.87229575522,1829.64827715757,1
2832.5351797536,2731.73835779678,1
2626.48864667761,2664.67997869794,1
2146.09136778518,1970.98879781645,1
2548.5439760964,2479.2032191619,1
3298.01876280899,3084.90408929676,1
3007.07384903125,2805.95596303156,1
2797.61019468585,2600.66110798577,1
1637.00831042606,1471.19740062169,1
3154.32880032145,3512.69281598358,1
2433.40466209154,2451.8547572218,1
3265.69175980214,2847.92948121269,1
2203.76994394253,2028.72251285767,1
2785.44819814909,2703.01874492723,1
2188.93603157825,1738.83295622624,1
2698.50092225432,2644.69918376222,1
1863.47131505743,1786.50599158193,1
2294.13120862625,2123.01907612887,1
1750.22759426101,1708.83450582183,1
2744.11566497562,2816.95566476213,1
2446.22915574438,2268.60483945225,1
1857.96227437817,1674.26228142054,1
2417.82533665797,2089.96211482763,1
2590.27542663363,2618.4457630774,1
2398.49220694563,2729.8154027738,1
2343.56470720636,2136.92336388949,1
